regime,n,positive_count,negative_count,metric,method,estimate,ci_low,ci_high,valid_bootstrap_replicates,status
undecidable-positive,4088,59,4029,AUROC,AllTime DerivCount,0.8123730075595997,0.7487171771424375,0.8739370216594975,10000,estimable
undecidable-positive,4088,59,4029,AP,AllTime DerivCount,0.28052460648451666,0.17234531090962216,0.4151493748249291,10000,estimable
undecidable-positive,4088,59,4029,Top-1% lift,AllTime DerivCount,28.72922695328648,19.296779714826013,39.506672802577086,10000,estimable
undecidable-positive,4088,59,4029,Top-5% lift,AllTime DerivCount,10.815708970649029,8.283377110694184,13.40327868852459,10000,estimable
undecidable-positive,4088,59,4029,Top-10% lift,AllTime DerivCount,6.776345779288054,5.552838902472154,7.962206290663462,10000,estimable
undecidable-positive,4088,59,4029,AUROC,Current DerivCount,0.5890493077728839,0.54189741834358,0.6422060159903564,10000,estimable
undecidable-positive,4088,59,4029,AP,Current DerivCount,0.07498518229027712,0.0308339747210742,0.16636865918872912,10000,estimable
undecidable-positive,4088,59,4029,Top-1% lift,Current DerivCount,15.209590739975198,6.364296834457706,23.65936337329475,10000,estimable
undecidable-positive,4088,59,4029,Top-5% lift,Current DerivCount,3.717899958660604,1.840750469043152,5.8449116904962155,10000,estimable
undecidable-positive,4088,59,4029,Top-10% lift,Current DerivCount,2.7105383117152213,1.6063569682151588,3.886987231730508,10000,estimable
undecidable-positive,4088,59,4029,AUROC,Vanilla PageRank,0.8107323598823781,0.7473930572853537,0.8720145087161307,10000,estimable
undecidable-positive,4088,59,4029,AP,Vanilla PageRank,0.2672599748936293,0.16218484883824513,0.39279243322357993,10000,estimable
undecidable-positive,4088,59,4029,Top-1% lift,Vanilla PageRank,25.34931789995866,15.447612504294057,34.98502353444587,10000,estimable
undecidable-positive,4088,59,4029,Top-5% lift,Vanilla PageRank,10.815708970649029,8.277588587206626,13.398170731707317,10000,estimable
undecidable-positive,4088,59,4029,Top-10% lift,Vanilla PageRank,6.776345779288054,5.552838902472154,7.962206290663462,10000,estimable
undecidable-positive,4088,59,4029,AUROC,Temporal Vanilla PageRank,0.7820862307591991,0.6997275581214001,0.8586623168259249,10000,estimable
undecidable-positive,4088,59,4029,AP,Temporal Vanilla PageRank,0.27462871303185427,0.16792707509264487,0.40079151683260367,10000,estimable
undecidable-positive,4088,59,4029,Top-1% lift,Temporal Vanilla PageRank,25.34931789995866,15.471825063078217,35.19081779053084,10000,estimable
undecidable-positive,4088,59,4029,Top-5% lift,Temporal Vanilla PageRank,10.815708970649029,8.277588587206626,13.40327868852459,10000,estimable
undecidable-positive,4088,59,4029,Top-10% lift,Temporal Vanilla PageRank,6.776345779288054,5.552838902472154,7.955291652113168,10000,estimable
undecidable-positive,4088,59,4029,AUROC,Downloads,0.9189267640117622,0.8720270460846602,0.9571788539624365,10000,estimable
undecidable-positive,4088,59,4029,AP,Downloads,0.4662136785248763,0.3415451336967666,0.5918203880906927,10000,estimable
undecidable-positive,4088,59,4029,Top-1% lift,Downloads,38.86895411326995,27.988018827556697,49.853658536585364,10000,estimable
undecidable-positive,4088,59,4029,Top-5% lift,Downloads,11.829681686647376,9.258536585365853,14.19561802397685,10000,estimable
undecidable-positive,4088,59,4029,Top-10% lift,Downloads,7.792797646181262,6.663406682966585,8.764942636825278,10000,estimable
undecidable-positive,4088,59,4029,AUROC,Likes,0.9024403582501441,0.8490044721413585,0.9510538209692555,10000,estimable
undecidable-positive,4088,59,4029,AP,Likes,0.5503723101293646,0.4222036685823011,0.6727323056047751,10000,estimable
undecidable-positive,4088,59,4029,Top-1% lift,Likes,43.93881769326168,35.28105065666041,56.35630965005302,10000,estimable
undecidable-positive,4088,59,4029,Top-5% lift,Likes,15.209590739975198,12.903299856527976,17.222172949002218,10000,estimable
undecidable-positive,4088,59,4029,Top-10% lift,Likes,8.131614935145663,7.079869600651997,9.102689486552567,10000,estimable
undecidable-excluded,4057,28,4029,AUROC,S_C3_Q10,0.9785040598517888,0.9697283091769157,0.9862105022901709,10000,estimable
undecidable-excluded,4057,28,4029,AP,S_C3_Q10,0.27380509207953035,0.1423271850526995,0.4552112124861045,10000,estimable
