regime,n,positive_count,negative_count,metric,reference,method,estimate,ci_low,ci_high,raw_p_value,holm_p_value,valid_bootstrap_replicates,status
undecidable-negative,4088,28,4060,Top-1% lift,S_C3_Q10,Likes,-21.365853658536594,-41.982028241335044,-4.154471544715449,0.022397760223977603,0.11198880111988802,10000,estimable
undecidable-negative,4088,28,4060,Top-5% lift,S_C3_Q10,Likes,-0.7121951219512184,-2.6010604453870627,0.6647154471544745,0.7677232276772322,1.0,10000,estimable
undecidable-negative,4088,28,4060,Top-10% lift,S_C3_Q10,Likes,1.0709046454767712,0.0,2.3517905939882056,0.142985701429857,0.428957104289571,10000,estimable
undecidable-positive,4088,59,4029,AUROC,S_C3_Q10,Submitted Full ModelRank,-0.017790510325563447,-0.03153290423309306,-0.004950704703565371,0.006999300069993001,0.020997900209979003,10000,estimable
undecidable-positive,4088,59,4029,AP,S_C3_Q10,Submitted Full ModelRank,-0.15489861692359422,-0.23727625557771492,-0.09120693292846904,0.00019998000199980003,0.0013998600139986002,10000,estimable
undecidable-positive,4088,59,4029,Top-1% lift,S_C3_Q10,Submitted Full ModelRank,-16.89954526663911,-27.192904656319293,-7.820181731229077,0.00019998000199980003,0.0013998600139986002,10000,estimable
undecidable-positive,4088,59,4029,Top-5% lift,S_C3_Q10,Submitted Full ModelRank,-2.0279454319966934,-4.301099952175992,0.0,0.062993700629937,0.18898110188981102,10000,estimable
undecidable-positive,4088,59,4029,Top-10% lift,S_C3_Q10,Submitted Full ModelRank,-0.3388172889644032,-0.8159273489346832,0.0,0.6981301869813019,0.8195180481951805,10000,estimable
undecidable-positive,4088,59,4029,AUROC,S_C3_Q10,AllTime DerivCount,0.1101295270307221,0.05635556433827466,0.16680948275759946,0.00019998000199980003,0.0013998600139986002,10000,estimable
undecidable-positive,4088,59,4029,AP,S_C3_Q10,AllTime DerivCount,-0.03759364621546099,-0.11457059946228276,0.03192876358508716,0.33556644335566443,1.0,10000,estimable
undecidable-positive,4088,59,4029,Top-1% lift,S_C3_Q10,AllTime DerivCount,-10.139727159983462,-20.394678492239468,-1.4876217906165066,0.044195580441955803,0.17678232176782321,10000,estimable
undecidable-positive,4088,59,4029,Top-5% lift,S_C3_Q10,AllTime DerivCount,2.7039272426622585,0.4747967479674795,4.762140516927557,0.025197480251974803,0.131986801319868,10000,estimable
undecidable-positive,4088,59,4029,Top-10% lift,S_C3_Q10,AllTime DerivCount,1.6940864448220125,0.7349345606213147,2.939738242485258,0.0007999200079992001,0.0047995200479952005,10000,estimable
undecidable-positive,4088,59,4029,AUROC,S_C3_Q10,Current DerivCount,0.33345322681743794,0.270066131794656,0.39007030417473565,0.00019998000199980003,0.0013998600139986002,10000,estimable
undecidable-positive,4088,59,4029,AP,S_C3_Q10,Current DerivCount,0.16794577797877855,0.11682592143119012,0.2200200894962005,0.00019998000199980003,0.0013998600139986002,10000,estimable
undecidable-positive,4088,59,4029,Top-1% lift,S_C3_Q10,Current DerivCount,3.3799090533278218,0.0,12.8654602675059,0.6621337866213378,0.6621337866213378,10000,estimable
undecidable-positive,4088,59,4029,Top-5% lift,S_C3_Q10,Current DerivCount,9.801736254650683,7.097809011988425,12.317052823790267,0.00019998000199980003,0.0013998600139986002,10000,estimable
undecidable-positive,4088,59,4029,Top-10% lift,S_C3_Q10,Current DerivCount,5.759893912394845,4.455316948314858,7.20244415159593,0.00019998000199980003,0.0013998600139986002,10000,estimable
undecidable-positive,4088,59,4029,AUROC,S_C3_Q10,Vanilla PageRank,0.1117701747079437,0.05827088442609606,0.16838810185038497,0.00019998000199980003,0.0013998600139986002,10000,estimable
undecidable-positive,4088,59,4029,AP,S_C3_Q10,Vanilla PageRank,-0.024329014624573625,-0.0898919916859432,0.041289031485899574,0.5631436856314369,1.0,10000,estimable
undecidable-positive,4088,59,4029,Top-1% lift,S_C3_Q10,Vanilla PageRank,-6.75981810665564,-15.172852598091197,1.846431797651313,0.20337966203379662,0.6035396460353964,10000,estimable
undecidable-positive,4088,59,4029,Top-5% lift,S_C3_Q10,Vanilla PageRank,2.7039272426622585,0.5778069989395545,4.7686108165429495,0.021997800219978002,0.131986801319868,10000,estimable
undecidable-positive,4088,59,4029,Top-10% lift,S_C3_Q10,Vanilla PageRank,1.6940864448220125,0.7349345606213147,2.939738242485258,0.0007999200079992001,0.0047995200479952005,10000,estimable
undecidable-positive,4088,59,4029,AUROC,S_C3_Q10,Temporal Vanilla PageRank,0.1404163038311227,0.0706681872771578,0.21473844852398352,0.00019998000199980003,0.0013998600139986002,10000,estimable
undecidable-positive,4088,59,4029,AP,S_C3_Q10,Temporal Vanilla PageRank,-0.0316977527627986,-0.09838732898808802,0.03575060924969758,0.42415758424157585,1.0,10000,estimable
undecidable-positive,4088,59,4029,Top-1% lift,S_C3_Q10,Temporal Vanilla PageRank,-6.75981810665564,-15.339587242026267,1.8812701334560522,0.20117988201179882,0.6035396460353964,10000,estimable
undecidable-positive,4088,59,4029,Top-5% lift,S_C3_Q10,Temporal Vanilla PageRank,2.7039272426622585,0.5463414634146346,4.768610816542948,0.022997700229977002,0.131986801319868,10000,estimable
undecidable-positive,4088,59,4029,Top-10% lift,S_C3_Q10,Temporal Vanilla PageRank,1.6940864448220125,0.7457656028469439,2.939738242485258,0.0007999200079992001,0.0047995200479952005,10000,estimable
undecidable-positive,4088,59,4029,AUROC,S_C3_Q10,Downloads,0.0035757705785596228,-0.008992981529643044,0.017937026204001894,0.6069393060693931,0.6069393060693931,10000,estimable
undecidable-positive,4088,59,4029,AP,S_C3_Q10,Downloads,-0.2232827182558206,-0.3216281893759674,-0.11108544375824196,0.00019998000199980003,0.0013998600139986002,10000,estimable
undecidable-positive,4088,59,4029,Top-1% lift,S_C3_Q10,Downloads,-20.27945431996693,-30.270227995758223,-10.575018477457501,0.00019998000199980003,0.0013998600139986002,10000,estimable
undecidable-positive,4088,59,4029,Top-5% lift,S_C3_Q10,Downloads,1.6899545266639109,-0.9203752345215772,4.273170731707317,0.25177482251774824,0.25177482251774824,10000,estimable
undecidable-positive,4088,59,4029,Top-10% lift,S_C3_Q10,Downloads,0.6776345779288047,0.0,1.7179095354523222,0.0903909609039096,0.2711728827117288,10000,estimable
undecidable-positive,4088,59,4029,AUROC,S_C3_Q10,Likes,0.020062176340177706,-0.013661767993861486,0.05896214830589916,0.280971902809719,0.561943805619438,10000,estimable
undecidable-positive,4088,59,4029,AP,S_C3_Q10,Likes,-0.3074413498603089,-0.4064252371249453,-0.19525843218458624,0.00019998000199980003,0.0013998600139986002,10000,estimable
undecidable-positive,4088,59,4029,Top-1% lift,S_C3_Q10,Likes,-25.349317899958663,-38.66202090592334,-15.668292682926829,0.00019998000199980003,0.0013998600139986002,10000,estimable
undecidable-positive,4088,59,4029,Top-5% lift,S_C3_Q10,Likes,-1.6899545266639109,-3.6005420054200545,0.0,0.0871912808719128,0.18898110188981102,10000,estimable
undecidable-positive,4088,59,4029,Top-10% lift,S_C3_Q10,Likes,0.3388172889644032,-0.3844273086326879,1.2956624105768366,0.40975902409759024,0.8195180481951805,10000,estimable
