regime,n,positive_count,negative_count,metric,left_method,right_method,left_estimate,right_estimate,difference,ci_low,ci_high,raw_p_value,valid_bootstrap_replicates,status,holm_p_value
confirmed-only,4057,28,4029,Top-1% lift,Current DerivCount,Temporal Vanilla PageRank,28.27177700348432,38.87369337979094,-10.601916376306622,-28.86077235772358,3.4121110176619,0.206979302069793,10000,estimable,1.0
confirmed-only,4057,28,4029,Top-5% lift,Current DerivCount,Temporal Vanilla PageRank,7.137579169598874,13.56140042223786,-6.4238212526389855,-9.992610837438423,-3.028063890132855,0.00039996000399960006,10000,estimable,0.009599040095990401
confirmed-only,4057,28,4029,Top-10% lift,Current DerivCount,Temporal Vanilla PageRank,3.925668543279381,8.565095003518648,-4.639426460239267,-6.533630162940508,-2.797931034482759,0.00019998000199980003,10000,estimable,0.005599440055994401
confirmed-only,4057,28,4029,AUROC,Current DerivCount,Downloads,0.6746578378186717,0.9870581143849945,-0.31240027656632274,-0.3974765249882344,-0.22149007455206496,0.00019998000199980003,10000,estimable,0.005599440055994401
confirmed-only,4057,28,4029,AP,Current DerivCount,Downloads,0.12674403217864255,0.6864386335401751,-0.5596946013615325,-0.6940183202986332,-0.3704904554065796,0.00019998000199980003,10000,estimable,0.005599440055994401
confirmed-only,4057,28,4029,Top-1% lift,Current DerivCount,Downloads,28.27177700348432,67.14547038327527,-38.87369337979095,-58.00588730025231,-19.790243902439023,0.00019998000199980003,10000,estimable,0.005599440055994401
confirmed-only,4057,28,4029,Top-5% lift,Current DerivCount,Downloads,7.137579169598874,16.41643209007741,-9.278852920478537,-13.538375973303669,-5.802161131415858,0.00019998000199980003,10000,estimable,0.005599440055994401
confirmed-only,4057,28,4029,Top-10% lift,Current DerivCount,Downloads,3.925668543279381,9.992610837438423,-6.066942294159043,-7.872966114345425,-4.207415089447757,0.00019998000199980003,10000,estimable,0.005599440055994401
confirmed-only,4057,28,4029,AUROC,Current DerivCount,Likes,0.6746578378186717,0.9503022728078573,-0.27564443498918556,-0.36627310258619766,-0.1797544765925693,0.00019998000199980003,10000,estimable,0.005599440055994401
confirmed-only,4057,28,4029,AP,Current DerivCount,Likes,0.12674403217864255,0.609370629380257,-0.48262659720161444,-0.6266081916928847,-0.28780793076372335,0.00019998000199980003,10000,estimable,0.005599440055994401
confirmed-only,4057,28,4029,Top-1% lift,Current DerivCount,Likes,28.27177700348432,63.61149825783972,-35.339721254355396,-57.28754813863928,-19.02908067542214,0.00019998000199980003,10000,estimable,0.005599440055994401
confirmed-only,4057,28,4029,Top-5% lift,Current DerivCount,Likes,7.137579169598874,17.130190007037296,-9.992610837438422,-13.70504420302604,-6.149298976885184,0.00019998000199980003,10000,estimable,0.005599440055994401
confirmed-only,4057,28,4029,Top-10% lift,Current DerivCount,Likes,3.925668543279381,8.921973961998592,-4.996305418719212,-6.891455749957533,-3.122152491719049,0.00019998000199980003,10000,estimable,0.005599440055994401
confirmed-only,4057,28,4029,AUROC,Vanilla PageRank,Temporal Vanilla PageRank,0.9046333723362763,0.893216147218381,0.011417225117895224,-0.028110553350593145,0.054305281021374836,0.6023397660233977,10000,estimable,1.0
confirmed-only,4057,28,4029,AP,Vanilla PageRank,Temporal Vanilla PageRank,0.35767204790248264,0.36201880848056806,-0.004346760578085418,-0.010584776991122001,0.001164102471522706,0.0973902609739026,10000,estimable,0.7007299270072993
confirmed-only,4057,28,4029,Top-1% lift,Vanilla PageRank,Temporal Vanilla PageRank,38.87369337979094,38.87369337979094,0.0,-3.8058161350844273,4.711962833914054,1.0,10000,estimable,1.0
confirmed-only,4057,28,4029,Top-5% lift,Vanilla PageRank,Temporal Vanilla PageRank,13.56140042223786,13.56140042223786,0.0,0.0,0.0,1.0,10000,estimable,1.0
confirmed-only,4057,28,4029,Top-10% lift,Vanilla PageRank,Temporal Vanilla PageRank,8.565095003518648,8.565095003518648,0.0,0.0,0.0,1.0,10000,estimable,1.0
