method,mapping,domain,role,count,share,domain_n
Current DerivCount,submitted,RL/Robotics,Hidden Root,4420,0.9305263157894736,4750
Current DerivCount,submitted,RL/Robotics,Long Tail,0,0.0,4750
Current DerivCount,crossmodal_reassigned,Audio,Popular Root,1671,0.09487310509282916,17613
Current DerivCount,crossmodal_reassigned,Audio,Popular Leaf,0,0.0,17613
Current DerivCount,crossmodal_reassigned,Audio,Hidden Root,15942,0.9051268949071708,17613
Current DerivCount,crossmodal_reassigned,Audio,Long Tail,0,0.0,17613
Current DerivCount,crossmodal_reassigned,CV,Popular Root,1537,0.08375565364285326,18351
Current DerivCount,crossmodal_reassigned,CV,Popular Leaf,0,0.0,18351
Current DerivCount,crossmodal_reassigned,CV,Hidden Root,16814,0.9162443463571468,18351
Current DerivCount,crossmodal_reassigned,CV,Long Tail,0,0.0,18351
Current DerivCount,crossmodal_reassigned,Multimodal,Popular Root,5951,0.0778559840912659,76436
Current DerivCount,crossmodal_reassigned,Multimodal,Popular Leaf,0,0.0,76436
Current DerivCount,crossmodal_reassigned,Multimodal,Hidden Root,70485,0.9221440159087341,76436
Current DerivCount,crossmodal_reassigned,Multimodal,Long Tail,0,0.0,76436
Current DerivCount,crossmodal_reassigned,NLP,Popular Root,25042,0.10869631269396879,230385
Current DerivCount,crossmodal_reassigned,NLP,Popular Leaf,0,0.0,230385
Current DerivCount,crossmodal_reassigned,NLP,Hidden Root,205343,0.8913036873060312,230385
Current DerivCount,crossmodal_reassigned,NLP,Long Tail,0,0.0,230385
Current DerivCount,crossmodal_reassigned,RL/Robotics,Popular Root,330,0.06947368421052631,4750
Current DerivCount,crossmodal_reassigned,RL/Robotics,Popular Leaf,0,0.0,4750
Current DerivCount,crossmodal_reassigned,RL/Robotics,Hidden Root,4420,0.9305263157894736,4750
Current DerivCount,crossmodal_reassigned,RL/Robotics,Long Tail,0,0.0,4750
AllTime DerivCount,submitted,Audio,Popular Root,1671,0.09487310509282916,17613
AllTime DerivCount,submitted,Audio,Popular Leaf,0,0.0,17613
AllTime DerivCount,submitted,Audio,Hidden Root,15942,0.9051268949071708,17613
AllTime DerivCount,submitted,Audio,Long Tail,0,0.0,17613
AllTime DerivCount,submitted,CV,Popular Root,4658,0.05506365774945918,84593
AllTime DerivCount,submitted,CV,Popular Leaf,0,0.0,84593
AllTime DerivCount,submitted,CV,Hidden Root,79935,0.9449363422505408,84593
AllTime DerivCount,submitted,CV,Long Tail,0,0.0,84593
AllTime DerivCount,submitted,Multimodal,Popular Root,2830,0.2776142829115166,10194
AllTime DerivCount,submitted,Multimodal,Popular Leaf,0,0.0,10194
AllTime DerivCount,submitted,Multimodal,Hidden Root,7364,0.7223857170884834,10194
AllTime DerivCount,submitted,Multimodal,Long Tail,0,0.0,10194
AllTime DerivCount,submitted,NLP,Popular Root,25042,0.10869631269396879,230385
AllTime DerivCount,submitted,NLP,Popular Leaf,0,0.0,230385
AllTime DerivCount,submitted,NLP,Hidden Root,205343,0.8913036873060312,230385
AllTime DerivCount,submitted,NLP,Long Tail,0,0.0,230385
