metric_left,metric_right,spearman_corr_lift_profiles,abs_corr
future_high_download_child_owner_breadth_3m,future_nonzero_download_child_share_3m,0.5685840399021985,0.5685840399021985
future_active_parent_binary_3m,future_high_download_child_owner_breadth_3m,0.567179878806442,0.567179878806442
future_child_download_quality_median_3m,future_child_future_child_count_median_3m,0.5668644688293024,0.5668644688293024
future_cross_owner_reuse_share_3m,future_high_like_child_count_3m,0.5665983346025457,0.5665983346025457
future_child_second_order_diffusion_share_3m,future_cross_owner_reuse_share_3m,0.5662700623043597,0.5662700623043597
future_child_like_quality_mean_3m,future_high_download_child_count_3m,0.5661249095548484,0.5661249095548484
future_child_becomes_parent_share_3m,future_child_like_quality_sum_3m,0.5641378751960004,0.5641378751960004
future_cross_owner_reuse_share_3m,future_high_download_child_count_3m,0.5560645132458445,0.5560645132458445
future_child_becomes_parent_share_3m,future_direct_children_3m,0.5536889645260281,0.5536889645260281
future_child_download_quality_median_3m,future_high_download_child_count_3m,0.5518272942459782,0.5518272942459782
future_child_like_quality_median_3m,future_high_download_child_count_3m,0.5508828977124411,0.5508828977124411
future_child_becomes_parent_share_3m,future_child_download_quality_sum_3m,0.5500931589248766,0.5500931589248766
future_child_download_quality_mean_3m,future_high_download_child_count_3m,0.549814089659516,0.549814089659516
future_active_parent_binary_3m,future_child_like_quality_sum_3m,0.5461804466328614,0.5461804466328614
future_child_like_quality_sum_3m,future_cross_owner_reuse_share_3m,0.5421268414144986,0.5421268414144986
future_child_becomes_parent_share_3m,future_high_like_child_count_3m,0.539978127495939,0.539978127495939
future_active_parent_binary_3m,future_high_download_child_count_3m,0.5310622319134731,0.5310622319134731
future_high_download_child_count_3m,future_nonzero_download_child_share_3m,0.5274679289742609,0.5274679289742609
future_child_becomes_parent_share_3m,future_child_owner_breadth_3m,0.5212447091017995,0.5212447091017995
future_high_like_child_count_3m,future_nonzero_download_child_share_3m,0.515528687996194,0.515528687996194
future_child_second_order_diffusion_share_3m,future_high_like_child_owner_breadth_3m,0.51438176875403,0.51438176875403
future_child_download_quality_sum_3m,future_child_future_child_count_median_3m,0.5140299539420743,0.5140299539420743
future_child_future_child_count_median_3m,future_high_like_child_owner_breadth_3m,0.5120960801447222,0.5120960801447222
future_child_future_child_count_median_3m,future_direct_children_3m,0.5043594496280015,0.5043594496280015
future_child_download_quality_sum_3m,future_child_second_order_diffusion_share_3m,0.50237201984419,0.50237201984419
future_child_download_quality_mean_3m,future_high_like_child_count_3m,0.5019707860279322,0.5019707860279322
future_child_download_quality_median_3m,future_high_like_child_count_3m,0.5006701238211342,0.5006701238211342
future_child_like_quality_sum_3m,future_nonzero_download_child_share_3m,0.49395345418140013,0.49395345418140013
future_child_becomes_parent_share_3m,future_high_download_child_count_3m,0.4931065734947872,0.4931065734947872
future_child_future_child_count_median_3m,future_child_like_quality_sum_3m,0.48805605945680147,0.48805605945680147
future_child_becomes_parent_share_3m,future_high_download_child_owner_breadth_3m,0.48669147632111837,0.48669147632111837
future_child_second_order_diffusion_share_3m,future_direct_children_3m,0.48613973176257397,0.48613973176257397
future_child_download_quality_mean_3m,future_child_like_quality_sum_3m,0.4813117275679387,0.4813117275679387
future_child_download_quality_median_3m,future_child_like_quality_sum_3m,0.4795982707111356,0.4795982707111356
future_child_future_child_count_median_3m,future_child_owner_breadth_3m,0.475306579271363,0.475306579271363
future_child_future_child_count_mean_3m,future_nonzero_download_child_share_3m,0.47413880396930386,0.47413880396930386
future_child_like_quality_sum_3m,future_child_second_order_diffusion_share_3m,0.4729863147408312,0.4729863147408312
future_active_parent_months_3m,future_child_future_child_count_mean_3m,0.4635005823440522,0.4635005823440522
future_active_parent_binary_3m,future_child_future_child_count_mean_3m,0.45203787159287867,0.45203787159287867
future_child_future_child_count_median_3m,future_high_like_child_count_3m,0.446182823556587,0.446182823556587
future_child_owner_breadth_3m,future_child_second_order_diffusion_share_3m,0.44569559560485605,0.44569559560485605
future_child_second_order_diffusion_share_3m,future_high_like_child_count_3m,0.44317416598460774,0.44317416598460774
future_child_future_child_count_median_3m,future_high_download_child_count_3m,0.44202307841515415,0.44202307841515415
future_child_second_order_diffusion_share_3m,future_high_download_child_count_3m,0.4343209826759595,0.4343209826759595
future_child_future_child_count_median_3m,future_high_download_child_owner_breadth_3m,0.4296123018399467,0.4296123018399467
future_child_download_quality_mean_3m,future_child_future_child_count_mean_3m,0.42423536679142104,0.42423536679142104
future_child_download_quality_median_3m,future_child_future_child_count_mean_3m,0.42211106162802403,0.42211106162802403
future_child_second_order_diffusion_share_3m,future_high_download_child_owner_breadth_3m,0.4198801037802144,0.4198801037802144
future_child_future_child_count_mean_3m,future_cross_owner_reuse_share_3m,0.41733961815706555,0.41733961815706555
future_child_future_child_count_mean_3m,future_high_like_child_owner_breadth_3m,0.3859348894518354,0.3859348894518354
future_child_future_child_count_mean_3m,future_child_like_quality_sum_3m,0.34824873173547194,0.34824873173547194
future_child_download_quality_sum_3m,future_child_future_child_count_mean_3m,0.34627418815881406,0.34627418815881406
future_child_future_child_count_mean_3m,future_direct_children_3m,0.33899043093377834,0.33899043093377834
future_child_future_child_count_mean_3m,future_high_like_child_count_3m,0.32461141214697053,0.32461141214697053
future_child_future_child_count_mean_3m,future_high_download_child_count_3m,0.29872056472821745,0.29872056472821745
future_child_future_child_count_mean_3m,future_child_owner_breadth_3m,0.29678497297362694,0.29678497297362694
future_child_future_child_count_mean_3m,future_high_download_child_owner_breadth_3m,0.28521520774139586,0.28521520774139586
