scheme,month,metric,family,statistic,method,value,candidate_n,base_value
primary,2025-06,future_active_parent_binary_3m,quantity,auc,S_Q_030,0.6626513601578832,496939,0.004425090403449921
primary,2025-06,future_active_parent_binary_3m,quantity,auc,S_Q_040,0.6626490158045173,496939,0.004425090403449921
primary,2025-06,future_active_parent_binary_3m,quantity,auc,S_Q_050,0.6626712487859779,496939,0.004425090403449921
primary,2025-06,future_active_parent_binary_3m,quantity,auc,S_Q_060,0.6627002763018753,496939,0.004425090403449921
primary,2025-06,future_active_parent_binary_3m,quantity,auc,S_Q_070,0.6627029892440277,496939,0.004425090403449921
primary,2025-06,future_active_parent_binary_3m,quantity,auc,S_Q_080,0.6626442402358395,496939,0.004425090403449921
primary,2025-06,future_active_parent_binary_3m,quantity,auc,S_Q_090,0.6623959152604637,496939,0.004425090403449921
primary,2025-06,future_active_parent_binary_3m,quantity,auc,S_Q_100,0.6598372256768765,496939,0.004425090403449921
primary,2025-06,future_active_parent_binary_3m,quantity,auc,S_WD_000,0.6720726958931286,496939,0.004425090403449921
primary,2025-06,future_active_parent_binary_3m,quantity,auc,S_WD_025,0.6686703116329029,496939,0.004425090403449921
primary,2025-06,future_active_parent_binary_3m,quantity,auc,S_WD_075,0.6519949698017321,496939,0.004425090403449921
primary,2025-06,future_active_parent_binary_3m,quantity,auc,S_WD_100,0.6440606641624321,496939,0.004425090403449921
primary,2025-06,future_child_download_quality_sum_3m,descendant_quality,lift,S_C3_Q10,3.6166454387378457,496939,0.03832134225298356
primary,2025-06,future_child_download_quality_sum_3m,descendant_quality,lift,AllTime DerivCount,3.6185428741713626,496939,0.03832134225298356
primary,2025-06,future_child_download_quality_sum_3m,descendant_quality,lift,Current DerivCount,2.598017562215518,496939,0.03832134225298356
primary,2025-06,future_child_download_quality_sum_3m,descendant_quality,lift,Vanilla PageRank,3.618542874171364,496939,0.03832134225298356
primary,2025-06,future_child_download_quality_sum_3m,descendant_quality,lift,Downloads,1.9841019318328834,496939,0.03832134225298356
primary,2025-06,future_child_download_quality_sum_3m,descendant_quality,lift,Likes,3.16863801780598,496939,0.03832134225298356
primary,2025-06,future_child_download_quality_sum_3m,descendant_quality,lift,MTPR_time_safe_typed,3.3760694457652387,496939,0.03832134225298356
primary,2025-06,future_child_download_quality_sum_3m,descendant_quality,lift,Simplified_MTPR_time_safe_typed,3.2603108788387116,496939,0.03832134225298356
primary,2025-06,future_child_download_quality_sum_3m,descendant_quality,lift,No-Propagation ModelRank,3.325475070962332,496939,0.03832134225298356
primary,2025-06,future_child_download_quality_sum_3m,descendant_quality,lift,EventValue_time_safe_typed,2.5980175622155177,496939,0.03832134225298356
primary,2025-06,future_child_download_quality_sum_3m,descendant_quality,lift,No child quality,3.4246214813434825,496939,0.03832134225298356
primary,2025-06,future_child_download_quality_sum_3m,descendant_quality,lift,No type weight,3.4142021085702905,496939,0.03832134225298356
primary,2025-06,future_child_download_quality_sum_3m,descendant_quality,lift,No parent size,3.310352493686312,496939,0.03832134225298356
primary,2025-06,future_child_download_quality_sum_3m,descendant_quality,lift,No quality teleport,3.4659301010552923,496939,0.03832134225298356
primary,2025-06,future_child_download_quality_sum_3m,descendant_quality,lift,No PageRank propagation,3.222141628400023,496939,0.03832134225298356
primary,2025-06,future_child_download_quality_sum_3m,descendant_quality,lift,No temporal inheritance,3.3187548091091963,496939,0.03832134225298356
primary,2025-06,future_child_download_quality_sum_3m,descendant_quality,lift,No event injection,3.2951668557231795,496939,0.03832134225298356
primary,2025-06,future_child_download_quality_sum_3m,descendant_quality,lift,S_D_000,3.325475070962332,496939,0.03832134225298356
primary,2025-06,future_child_download_quality_sum_3m,descendant_quality,lift,S_D_025,3.609123984607822,496939,0.03832134225298356
primary,2025-06,future_child_download_quality_sum_3m,descendant_quality,lift,S_D_050,3.5742942536277464,496939,0.03832134225298356
primary,2025-06,future_child_download_quality_sum_3m,descendant_quality,lift,S_D_065,3.576781872142935,496939,0.03832134225298356
primary,2025-06,future_child_download_quality_sum_3m,descendant_quality,lift,S_D_075,3.602421729777756,496939,0.03832134225298356
primary,2025-06,future_child_download_quality_sum_3m,descendant_quality,lift,S_D_090,3.6404507158240764,496939,0.03832134225298356
primary,2025-06,future_child_download_quality_sum_3m,descendant_quality,lift,S_D_095,3.643942668158536,496939,0.03832134225298356
primary,2025-06,future_child_download_quality_sum_3m,descendant_quality,lift,S_D_099,3.635405273458032,496939,0.03832134225298356
primary,2025-06,future_child_download_quality_sum_3m,descendant_quality,lift,S_MEM_01,3.325475070962332,496939,0.03832134225298356
primary,2025-06,future_child_download_quality_sum_3m,descendant_quality,lift,S_MEM_03,3.689847522680327,496939,0.03832134225298356
primary,2025-06,future_child_download_quality_sum_3m,descendant_quality,lift,S_MEM_06,3.826520015790808,496939,0.03832134225298356
primary,2025-06,future_child_download_quality_sum_3m,descendant_quality,lift,S_MEM_12,3.6166454387378457,496939,0.03832134225298356
primary,2025-06,future_child_download_quality_sum_3m,descendant_quality,lift,S_Q_000,2.806200149131718,496939,0.03832134225298356
primary,2025-06,future_child_download_quality_sum_3m,descendant_quality,lift,S_Q_005,3.6166454387378457,496939,0.03832134225298356
primary,2025-06,future_child_download_quality_sum_3m,descendant_quality,lift,S_Q_015,3.6166454387378457,496939,0.03832134225298356
primary,2025-06,future_child_download_quality_sum_3m,descendant_quality,lift,S_Q_020,3.6166454387378457,496939,0.03832134225298356
primary,2025-06,future_child_download_quality_sum_3m,descendant_quality,lift,S_Q_030,3.6166454387378457,496939,0.03832134225298356
primary,2025-06,future_child_download_quality_sum_3m,descendant_quality,lift,S_Q_040,3.6166454387378457,496939,0.03832134225298356
primary,2025-06,future_child_download_quality_sum_3m,descendant_quality,lift,S_Q_050,3.6166454387378457,496939,0.03832134225298356
primary,2025-06,future_child_download_quality_sum_3m,descendant_quality,lift,S_Q_060,3.6166454387378457,496939,0.03832134225298356
primary,2025-06,future_child_download_quality_sum_3m,descendant_quality,lift,S_Q_070,3.6166454387378457,496939,0.03832134225298356
primary,2025-06,future_child_download_quality_sum_3m,descendant_quality,lift,S_Q_080,3.6166454387378457,496939,0.03832134225298356
primary,2025-06,future_child_download_quality_sum_3m,descendant_quality,lift,S_Q_090,3.6141630112943997,496939,0.03832134225298356
primary,2025-06,future_child_download_quality_sum_3m,descendant_quality,lift,S_Q_100,3.575028545289336,496939,0.03832134225298356
primary,2025-06,future_child_download_quality_sum_3m,descendant_quality,lift,S_WD_000,3.471091281296926,496939,0.03832134225298356
primary,2025-06,future_child_download_quality_sum_3m,descendant_quality,lift,S_WD_025,3.7942582093885813,496939,0.03832134225298356
primary,2025-06,future_child_download_quality_sum_3m,descendant_quality,lift,S_WD_075,3.490160281278226,496939,0.03832134225298356
primary,2025-06,future_child_download_quality_sum_3m,descendant_quality,lift,S_WD_100,3.463762094074891,496939,0.03832134225298356
primary,2025-06,future_child_like_quality_sum_3m,descendant_quality,lift,S_C3_Q10,2.703714613573745,496939,0.0030899828878572675
primary,2025-06,future_child_like_quality_sum_3m,descendant_quality,lift,AllTime DerivCount,2.5671925140459764,496939,0.0030899828878572675
primary,2025-06,future_child_like_quality_sum_3m,descendant_quality,lift,Current DerivCount,1.5087460304655016,496939,0.0030899828878572675
primary,2025-06,future_child_like_quality_sum_3m,descendant_quality,lift,Vanilla PageRank,2.5671925140459764,496939,0.0030899828878572675
primary,2025-06,future_child_like_quality_sum_3m,descendant_quality,lift,Downloads,1.6776238447990184,496939,0.0030899828878572675
primary,2025-06,future_child_like_quality_sum_3m,descendant_quality,lift,Likes,2.562763405079834,496939,0.0030899828878572675
primary,2025-06,future_child_like_quality_sum_3m,descendant_quality,lift,MTPR_time_safe_typed,2.560792071583465,496939,0.0030899828878572675
primary,2025-06,future_child_like_quality_sum_3m,descendant_quality,lift,Simplified_MTPR_time_safe_typed,2.441206779346612,496939,0.0030899828878572675
primary,2025-06,future_child_like_quality_sum_3m,descendant_quality,lift,No-Propagation ModelRank,2.4799596459640627,496939,0.0030899828878572675
