candidate,baseline,family,metric,statistic,material_threshold,n_months,mean_difference,sd_difference,ci_low,ci_high,p_raw,bootstrap_ci_low,bootstrap_ci_high,bootstrap_direction,holm_p,holm_family_size,decision,robust_material_win,material_loss
S_C3_Q10,Likes,repropagation,future_child_future_child_count_mean_3m,lift,0.1,3,0.9630571103391642,0.2092996099663062,0.4431280561736709,1.4829861645046574,0.015381560650002743,0.8176163012562983,1.2029347911865926,positive,0.19996028845003566,21,tie,False,False
S_C3_Q10,Likes,repropagation,future_child_future_child_count_median_3m,lift,0.1,3,1.0212401118009657,0.43880048309931025,-0.06880071618678607,2.111280939788718,0.05638536325277783,0.756744042429526,1.5277570817905417,positive,0.5638536325277783,21,tie,False,False
S_C3_Q10,Likes,repropagation,future_child_second_order_diffusion_share_3m,lift,0.1,3,1.1136116460287584,0.42867966028775134,0.04871233566083144,2.1785109563966856,0.046011979146906676,0.7522699427170227,1.5872677895172576,positive,0.5061317706159735,21,tie,False,False
S_C3_Q10,Likes,adoption_breadth,future_child_owner_breadth_3m,lift,0.1,6,0.36355200627347894,0.1272395404043434,0.2300222977691759,0.49708171477778196,0.0009175051432132655,0.27484349198232727,0.45719407159192715,positive,0.014680082291412247,21,win,True,False
S_C3_Q10,Likes,adoption_breadth,future_high_download_child_owner_breadth_3m,lift,0.1,6,0.15196585028934875,0.23742833541059644,-0.09719990681170892,0.40113160739040643,0.17771514815519596,-0.00958716750895916,0.3340264364195696,mixed,1.0,21,tie,False,False
S_C3_Q10,Likes,adoption_breadth,future_high_like_child_owner_breadth_3m,lift,0.1,6,0.12393566513644531,0.22713171249795594,-0.11442444890951779,0.3622957791824084,0.23895208903782225,-0.058293150504213465,0.265143481368408,mixed,1.0,21,tie,False,False
S_C3_Q10,Likes,adoption_breadth,future_cross_owner_reuse_share_3m,lift,0.1,6,0.30182967842196456,0.08997747115192681,0.2074041134074198,0.3962552434365093,0.0004347330044461336,0.23623296200240773,0.37020077020869757,positive,0.007390461075584271,21,win,True,False
S_C3_Q10,MTPR_time_safe_typed,quantity,future_direct_children_3m,lift,0.1,6,0.3665114816311436,0.2051668458058109,0.15120208151748174,0.5818208817448055,0.007182947250335518,0.21810093626748417,0.5247493954012205,positive,0.11492715600536829,21,tie,False,False
S_C3_Q10,MTPR_time_safe_typed,quantity,future_active_parent_months_3m,lift,0.1,6,0.33181247787302476,0.13371464052071047,0.19148756853471147,0.472137387211338,0.0017418028834296872,0.23668481827038548,0.43294515310750853,positive,0.034836057668593746,21,win,True,False
S_C3_Q10,MTPR_time_safe_typed,quantity,future_active_parent_binary_3m,auc,0.01,6,0.031676161849755656,0.02124337975516472,0.009382602022840972,0.05396972167667034,0.014710490801165033,0.01890537395036135,0.04942634834025925,positive,0.1765258896139804,21,tie,False,False
S_C3_Q10,MTPR_time_safe_typed,descendant_quality,future_child_download_quality_sum_3m,lift,0.1,6,0.24465587084614562,0.11547835730222078,0.12346876705655246,0.3658429746357388,0.00349731475167867,0.15466813414895286,0.3269975709063641,positive,0.06295166553021606,21,tie,False,False
S_C3_Q10,MTPR_time_safe_typed,descendant_quality,future_child_like_quality_sum_3m,lift,0.1,6,0.3037854317165327,0.22337983869774988,0.06936266775289782,0.5382081956801676,0.020752013614331148,0.1520143141428195,0.4754724439157063,positive,0.18440374076858954,21,tie,False,False
S_C3_Q10,MTPR_time_safe_typed,descendant_quality,future_high_download_child_count_3m,lift,0.1,6,0.01869635922838227,0.07065604312358646,-0.05545261059953695,0.09284532905630148,0.5454647815741043,-0.03479628617421201,0.06596337289298959,mixed,1.0,21,tie,False,False
S_C3_Q10,MTPR_time_safe_typed,descendant_quality,future_high_like_child_count_3m,lift,0.1,6,0.3717285174098659,0.2371452866902361,0.12285980172378133,0.6205972330959505,0.012128508206810697,0.21119152642362726,0.559879961868249,positive,0.16979911489534977,21,tie,False,False
S_C3_Q10,MTPR_time_safe_typed,descendant_quality,future_nonzero_like_child_share_3m,lift,0.1,6,0.5103911844053711,0.35897634410472257,0.1336686150223106,0.8871137537884317,0.017608151184480673,0.2627380131457591,0.7899581351001322,positive,0.18440374076858954,21,tie,False,False
S_C3_Q10,MTPR_time_safe_typed,descendant_quality,future_nonzero_download_child_share_3m,lift,0.1,6,0.3616575082288293,0.16830985500880866,0.18502714783685986,0.5382878686207988,0.003289722284628914,0.24220120343539495,0.4878917208635023,positive,0.06250472340794937,21,tie,False,False
S_C3_Q10,MTPR_time_safe_typed,descendant_quality,future_child_download_quality_mean_3m,lift,0.1,6,0.23652808629783864,0.1693009811313311,0.05885760282926222,0.41419856976641506,0.018794446026134042,0.11742928838312983,0.361633604513538,positive,0.18440374076858954,21,tie,False,False
S_C3_Q10,MTPR_time_safe_typed,descendant_quality,future_child_download_quality_median_3m,lift,0.1,6,0.23796229123374468,0.16929950612853523,0.06029335568567121,0.4156312267818182,0.018377206691394806,0.11846014177661994,0.36231035208452783,positive,0.18440374076858954,21,tie,False,False
S_C3_Q10,MTPR_time_safe_typed,descendant_quality,future_child_like_quality_mean_3m,lift,0.1,6,0.4810636995454282,0.33999407789816705,0.12426179684552019,0.8378656022453362,0.017929594693538144,0.2568332518553437,0.7454321103837183,positive,0.18440374076858954,21,tie,False,False
S_C3_Q10,MTPR_time_safe_typed,descendant_quality,future_child_like_quality_median_3m,lift,0.1,6,0.5135493591928846,0.3564922538015349,0.1394336827067092,0.88766503567906,0.01676397643350814,0.2764278970406601,0.7802658106038775,positive,0.18440374076858954,21,tie,False,False
S_C3_Q10,MTPR_time_safe_typed,repropagation,future_child_becomes_parent_share_3m,lift,0.1,3,1.1731434518559218,0.23076587436220677,0.5998892407748293,1.7463976629370144,0.012653631181469878,0.9583725318380747,1.417123120036969,positive,0.16979911489534977,21,tie,False,False
S_C3_Q10,MTPR_time_safe_typed,repropagation,future_child_future_child_count_mean_3m,lift,0.1,3,0.8418165986343604,0.25567381783844617,0.20668762584256284,1.4769455714261581,0.029398773182576828,0.6289356163509998,1.125402133919648,positive,0.18440374076858954,21,tie,False,False
S_C3_Q10,MTPR_time_safe_typed,repropagation,future_child_future_child_count_median_3m,lift,0.1,3,0.9693569020992149,0.2753026091788881,0.2854673085031514,1.6532464956952784,0.02584845221649573,0.6926392988291834,1.2432223554199346,positive,0.18440374076858954,21,tie,False,False
S_C3_Q10,MTPR_time_safe_typed,repropagation,future_child_second_order_diffusion_share_3m,lift,0.1,3,0.6342614507574703,0.26025415866111684,-0.012245719404452071,1.2807686209193927,0.05180044803203838,0.44305186099645866,0.9306432281035342,positive,0.18440374076858954,21,tie,False,False
S_C3_Q10,MTPR_time_safe_typed,adoption_breadth,future_child_owner_breadth_3m,lift,0.1,6,0.2469934575790611,0.09226357413865302,0.1501687746137732,0.343818140544349,0.0012362266061291297,0.18338465236083165,0.31654021042127156,positive,0.025960758728711723,21,win,True,False
S_C3_Q10,MTPR_time_safe_typed,adoption_breadth,future_high_download_child_owner_breadth_3m,lift,0.1,6,0.029746524310268214,0.11804948154005714,-0.09413880888911083,0.15363185750964725,0.5641028125867511,-0.05030676865522595,0.12159354490583628,mixed,1.0,21,tie,False,False
S_C3_Q10,MTPR_time_safe_typed,adoption_breadth,future_high_like_child_owner_breadth_3m,lift,0.1,6,0.4163229668286079,0.23567288207121265,0.16899944502607406,0.6636464886311417,0.007519984565525065,0.25875024267887436,0.6026153909616346,positive,0.11492715600536829,21,tie,False,False
S_C3_Q10,MTPR_time_safe_typed,adoption_breadth,future_cross_owner_reuse_share_3m,lift,0.1,6,0.31448549584497415,0.16837622194046833,0.1377854876296105,0.4911855040603378,0.005974362334593415,0.20137841125324477,0.4438856918836453,positive,0.10156415968808806,21,tie,False,False
S_C3_Q10,Simplified_MTPR_time_safe_typed,quantity,future_direct_children_3m,lift,0.1,6,0.49885413043966254,0.22888817995407426,0.2586507168449314,0.7390575440343936,0.0030928478554797917,0.3201421591301674,0.6602203542641455,positive,0.04366767457397881,21,win,True,False
S_C3_Q10,Simplified_MTPR_time_safe_typed,quantity,future_active_parent_months_3m,lift,0.1,6,0.46337422440658466,0.15860770494759097,0.29692564607247607,0.6298228027406932,0.0008280634142455903,0.35845200658713805,0.5777335536604121,positive,0.015733204870666217,21,win,True,False
S_C3_Q10,Simplified_MTPR_time_safe_typed,quantity,future_active_parent_binary_3m,auc,0.01,6,0.025188428975005395,0.006943812772330294,0.017901344374957044,0.032475513575053745,0.0003004056997277303,0.019479403392398602,0.029406392180213847,positive,0.006308519694282337,21,win,True,False
S_C3_Q10,Simplified_MTPR_time_safe_typed,descendant_quality,future_child_download_quality_sum_3m,lift,0.1,6,0.31064999579861546,0.1385155445631457,0.16528684665444995,0.456013144942781,0.0027292296608736758,0.2043719097545964,0.3958096253867703,positive,0.04366767457397881,21,win,True,False
S_C3_Q10,Simplified_MTPR_time_safe_typed,descendant_quality,future_child_like_quality_sum_3m,lift,0.1,6,0.38459928483512096,0.2443193501974214,0.128201851221719,0.6409967184485229,0.011929441335125588,0.21439330375203122,0.5748434761282267,positive,0.09506801941072146,21,tie,False,False
S_C3_Q10,Simplified_MTPR_time_safe_typed,descendant_quality,future_high_download_child_count_3m,lift,0.1,6,0.03788139727534993,0.1290024268880224,-0.09749834713401678,0.17326114168471662,0.5041676467946359,-0.06120742401863407,0.12179852295434361,mixed,0.9124441381425193,21,tie,False,False
S_C3_Q10,Simplified_MTPR_time_safe_typed,descendant_quality,future_high_like_child_count_3m,lift,0.1,6,0.4593469208638706,0.2751679933216837,0.17057582171343555,0.7481180200143056,0.009455951950022195,0.26148231173093,0.6593023209844461,positive,0.09455951950022196,21,tie,False,False
S_C3_Q10,Simplified_MTPR_time_safe_typed,descendant_quality,future_nonzero_like_child_share_3m,lift,0.1,6,0.6701550346668462,0.46315346947971736,0.18410527705335378,1.1562047922803387,0.01648767998342587,0.3425815643836044,1.0075917789274664,positive,0.09506801941072146,21,tie,False,False
S_C3_Q10,Simplified_MTPR_time_safe_typed,descendant_quality,future_nonzero_download_child_share_3m,lift,0.1,6,0.48863919849936405,0.1918578204548092,0.28729676392132253,0.6899816330774056,0.001549479534406231,0.35900954783005407,0.633486149071795,positive,0.026687567851168045,21,win,True,False
S_C3_Q10,Simplified_MTPR_time_safe_typed,descendant_quality,future_child_download_quality_mean_3m,lift,0.1,6,0.33214494662473687,0.2045769965972715,0.11745455529268067,0.5468353379567931,0.01056311326785794,0.18839823687533372,0.4791221548161542,positive,0.09506801941072146,21,tie,False,False
S_C3_Q10,Simplified_MTPR_time_safe_typed,descendant_quality,future_child_download_quality_median_3m,lift,0.1,6,0.3334601939242437,0.2056778752838324,0.11761450126330858,0.5493058865851788,0.010622462940149225,0.18878738250678903,0.4902014620051029,positive,0.09506801941072146,21,tie,False,False
