model_id,Downloads,Likes,S_C3_Q10,role,month,download_p90,modelrank_p90
deepseek-ai/DeepSeek-Prover-V1.5-SFT,6249.0,6.0,12.499110453399465,Popular Root,2024-11,82.0,0.2028459520811253
deepseek-ai/DeepSeek-Prover-V1.5-SFT,3174.0,6.0,9.257062030690804,Popular Root,2024-12,51.0,0.1918775380863641
deepseek-ai/DeepSeek-Prover-V1.5-SFT,954.0,9.0,1.3236196884673341,Popular Root,2025-01,119.0,0.1811518922358358
deepseek-ai/DeepSeek-Prover-V1.5-SFT,5265.0,9.0,36.412086037968585,Popular Root,2025-02,111.0,0.1825346650438559
deepseek-ai/DeepSeek-Prover-V1.5-SFT,16205.0,10.0,19.824955082530764,Popular Root,2025-03,61.0,0.1913654759481211
deepseek-ai/DeepSeek-Prover-V1.5-SFT,17684.0,13.0,16.136280432252583,Popular Root,2025-04,48.0,0.2265555325290591
deepseek-ai/DeepSeek-Prover-V1.5-SFT,2724.0,13.0,14.18086699128613,Popular Root,2025-05,29.0,0.1877114771442029
deepseek-ai/DeepSeek-Prover-V1.5-SFT,11181.0,13.0,1.934573401066646,Popular Root,2025-06,73.0,0.1671328586157394
deepseek-ai/DeepSeek-Prover-V1.5-SFT,11053.0,13.0,82.45996042438598,Popular Root,2025-07,46.0,0.1616196593713486
deepseek-ai/DeepSeek-Prover-V1.5-SFT,5047.0,13.0,40.01142259492179,Popular Root,2025-08,37.0,0.1789208319783163
deepseek-ai/DeepSeek-Prover-V1.5-SFT,2201.0,13.0,2.334817605115084,Popular Root,2025-09,56.0,0.1745556870024762
deepseek-ai/DeepSeek-Prover-V1.5-SFT,274.0,13.0,2.5174427809283357,Popular Root,2025-10,56.0,0.2497182525588382
deepseek-ai/DeepSeek-Prover-V1.5-SFT,694.0,13.0,2.1036148372755945,Popular Root,2025-11,89.0,0.1764457011105828
deepseek-ai/DeepSeek-Prover-V1.5-SFT,1544.0,13.0,2.0228483740912604,Popular Root,2025-12,55.0,0.1615341957713476
deepseek-ai/DeepSeek-Prover-V1.5-SFT,1434.0,13.0,2.431976992361456,Popular Root,2026-01,30.0,0.1954875292731835
deepseek-ai/DeepSeek-Prover-V1.5-SFT,2414.0,13.0,2.817045664244775,Popular Root,2026-02,45.0,0.2434687593373653
google/codegemma-1.1-2b,927.0,17.0,2.546695222066961,Popular Root,2024-07,219.0,1.8558965922405413
google/codegemma-1.1-2b,286.0,17.0,0.3186929843776371,Popular Root,2024-08,116.0,0.2308944160471986
google/codegemma-1.1-2b,104.0,17.0,0.3298571392056849,Popular Root,2024-09,100.0,0.2475988486003169
google/codegemma-1.1-2b,142.0,17.0,0.33742883536579077,Popular Root,2024-10,75.0,0.238593793034825
google/codegemma-1.1-2b,49.0,17.0,0.23672175599467973,Hidden Root,2024-11,82.0,0.2028459520811253
google/codegemma-1.1-2b,152.0,17.0,0.2788139313011768,Popular Root,2024-12,51.0,0.1918775380863641
google/codegemma-1.1-2b,105.0,17.0,0.2502509288694134,Hidden Root,2025-01,119.0,0.1811518922358358
google/codegemma-1.1-2b,103.0,17.0,0.23015254222440584,Hidden Root,2025-02,111.0,0.1825346650438559
google/codegemma-1.1-2b,209.0,17.0,0.28570595422543466,Popular Root,2025-03,61.0,0.1913654759481211
google/codegemma-1.1-2b,56.0,17.0,0.3012127893525321,Popular Root,2025-04,48.0,0.2265555325290591
