family,metric,statistic,method,mean,count
descendant_quality,future_child_download_quality_mean_3m,lift,S_C3_Q10,4.2699763425710975,6
descendant_quality,future_child_download_quality_mean_3m,lift,S_D_000,3.995484146370513,6
descendant_quality,future_child_download_quality_mean_3m,lift,S_D_025,4.279470416171298,6
descendant_quality,future_child_download_quality_mean_3m,lift,S_D_050,4.280167781947629,6
descendant_quality,future_child_download_quality_mean_3m,lift,S_D_065,4.268995778129564,6
descendant_quality,future_child_download_quality_mean_3m,lift,S_D_075,4.267183933162695,6
descendant_quality,future_child_download_quality_mean_3m,lift,S_D_090,4.278029162543532,6
descendant_quality,future_child_download_quality_mean_3m,lift,S_D_095,4.284908790498277,6
descendant_quality,future_child_download_quality_mean_3m,lift,S_D_099,4.287937995543186,6
descendant_quality,future_child_download_quality_mean_3m,lift,S_MEM_01,3.995484146370513,6
descendant_quality,future_child_download_quality_mean_3m,lift,S_MEM_03,4.315500580657166,6
descendant_quality,future_child_download_quality_mean_3m,lift,S_MEM_06,4.372472668086308,6
descendant_quality,future_child_download_quality_mean_3m,lift,S_MEM_12,4.297821877355642,6
descendant_quality,future_child_download_quality_mean_3m,lift,S_Q_000,2.580873102081408,6
descendant_quality,future_child_download_quality_mean_3m,lift,S_Q_005,4.2699763425710975,6
descendant_quality,future_child_download_quality_mean_3m,lift,S_Q_015,4.2699763425710975,6
descendant_quality,future_child_download_quality_mean_3m,lift,S_Q_020,4.2699763425710975,6
descendant_quality,future_child_download_quality_mean_3m,lift,S_Q_030,4.2699763425710975,6
descendant_quality,future_child_download_quality_mean_3m,lift,S_Q_040,4.2699763425710975,6
descendant_quality,future_child_download_quality_mean_3m,lift,S_Q_050,4.2699763425710975,6
descendant_quality,future_child_download_quality_mean_3m,lift,S_Q_060,4.2699763425710975,6
descendant_quality,future_child_download_quality_mean_3m,lift,S_Q_070,4.2699763425710975,6
descendant_quality,future_child_download_quality_mean_3m,lift,S_Q_080,4.2699763425710975,6
descendant_quality,future_child_download_quality_mean_3m,lift,S_Q_090,4.26907874164787,6
descendant_quality,future_child_download_quality_mean_3m,lift,S_Q_100,4.238919836259964,6
descendant_quality,future_child_download_quality_mean_3m,lift,S_WD_000,4.299780478658668,6
descendant_quality,future_child_download_quality_mean_3m,lift,S_WD_025,4.518894976415393,6
descendant_quality,future_child_download_quality_mean_3m,lift,S_WD_075,4.12591555087101,6
descendant_quality,future_child_download_quality_mean_3m,lift,S_WD_100,4.05521335197635,6
descendant_quality,future_child_download_quality_mean_3m,lift,Simplified_MTPR_time_safe_typed,3.9378313959463607,6
descendant_quality,future_child_download_quality_mean_3m,lift,Vanilla PageRank,4.01144948252908,6
descendant_quality,future_child_download_quality_median_3m,lift,AllTime DerivCount,4.010329580180849,6
descendant_quality,future_child_download_quality_median_3m,lift,Current DerivCount,2.359711184706049,6
descendant_quality,future_child_download_quality_median_3m,lift,Downloads,2.983754804231637,6
descendant_quality,future_child_download_quality_median_3m,lift,EventValue_time_safe_typed,2.359711184706049,6
descendant_quality,future_child_download_quality_median_3m,lift,Likes,3.916717988696245,6
descendant_quality,future_child_download_quality_median_3m,lift,MTPR_time_safe_typed,4.033097201926515,6
descendant_quality,future_child_download_quality_median_3m,lift,No PageRank propagation,3.8926783884431786,6
