download_band,deriv_band,n,n_hi,n_lo,median_score,mr_hi_desc_count_mean,mr_lo_desc_count_mean,desc_count_effect_r,desc_count_p_value,mr_hi_desc_depth_mean,mr_lo_desc_depth_mean,desc_depth_effect_r,desc_depth_p_value,mr_hi_active_months_mean,mr_lo_active_months_mean,active_months_effect_r,active_months_p_value,mr_hi_type_diversity_mean,mr_lo_type_diversity_mean,type_diversity_effect_r,type_diversity_p_value
5-7,2,1465,733,732,0.4379179739053106,19.687585266030013,5.766393442622951,-0.016384123931146077,0.3700374719620796,2.020463847203274,1.4959016393442623,-0.01831682061145523,0.3161449681117451,1.136425648021828,1.330601092896175,-0.1941754448743468,1.6140826869753234e-18,1.121418826739427,1.1707650273224044,-0.04934620058297734,0.007520262225292937
5-7,3-4,1040,520,520,0.5970075806389509,29.657692307692308,10.692307692307692,0.21064349112426028,5.697593975042203e-10,2.85,2.105769230769231,0.134056952662722,1.6698447276896935e-05,1.6576923076923078,1.6326923076923077,0.024056952662721898,0.45798958183394345,1.4865384615384616,1.35,0.12362056213017758,5.304590199732459e-05
5-7,5-8,454,227,227,0.886426336696817,95.58590308370044,32.23788546255506,0.3715965766849736,5.959934758059665e-12,4.907488986784141,2.753303964757709,0.33117273768169375,2.7198194514944823e-10,2.3259911894273126,2.079295154185022,0.15012905354266537,0.003743499878904225,1.920704845814978,1.669603524229075,0.21725630227638804,4.5963521032256e-06
5-7,9+,277,139,138,1.3463888914720827,188.85611510791367,54.69565217391305,0.5255969137733292,3.848417461887089e-14,6.086330935251799,3.282608695652174,0.40491085392555526,2.9815718975944387e-09,3.712230215827338,2.4130434782608696,0.3563236367427798,1.7335513845785956e-07,2.0863309352517985,1.681159420289855,0.32467938692524245,1.3333739576898627e-07
8-16,1,2088,1044,1044,0.2671275658553014,5.832375478927203,1.4540229885057472,0.03475983910981939,0.00192828706056996,1.3256704980842913,1.121647509578544,0.034577259582214026,0.0020346614942641996,1.0,1.0,0.0,1.0,1.0,0.9980842911877394,0.0019157088122605526,0.1573985982383337
8-16,2,1352,676,676,0.5051526380018558,7.994082840236686,5.705621301775148,-0.007726882812226443,0.6429482661559515,1.4289940828402368,1.3742603550295858,-0.009173348272119353,0.5819324608261334,1.121301775147929,1.3121301775147929,-0.19082840236686394,1.7098750349018017e-17,1.0828402366863905,1.1612426035502958,-0.07840236686390534,1.0738767776854776e-05
8-16,3-4,1062,531,531,0.691763836668247,39.03954802259887,10.576271186440678,0.30878383889970595,1.888102676721665e-20,2.774011299435028,1.817325800376648,0.19846361730877682,1.2002058071181271e-11,1.7495291902071564,1.7325800376647835,0.005373083511549526,0.8687371903149709,1.4670433145009416,1.310734463276836,0.14846734122804217,6.196843534888683e-07
8-16,5-8,534,267,267,1.0540406399534932,123.19475655430712,31.38951310861423,0.4053781088246433,3.713076947850569e-16,5.187265917602996,2.955056179775281,0.3282834658923537,9.09328758833871e-12,2.5430711610486894,2.3258426966292136,0.10206343194602252,0.0344031567236304,1.9550561797752808,1.7228464419475655,0.18694328718315578,2.291311541381275e-05
8-16,9+,447,224,223,1.8286049239688638,342.63392857142856,89.22421524663677,0.5568345611787315,2.3067053917890287e-24,8.209821428571429,4.748878923766816,0.42396700832799494,5.5542985191404625e-15,4.236607142857143,3.125560538116592,0.3197869955156951,2.855717433206533e-09,2.3794642857142856,1.9506726457399104,0.32719410634208845,1.0944420213229186e-11
17-43,1,1434,717,717,0.3413688663839952,1.284518828451883,1.5690376569037656,0.028302492369998156,0.014206659414625416,1.089260808926081,1.0655509065550905,0.02799126221335224,0.015289088797529165,1.0,1.0,0.0,1.0,1.0,0.99302649930265,0.0069735006973501434,0.025183859484500762
