month,percentile,threshold_rule,n,pr_n,pr_share,pl_n,pl_share,hr_n,hr_share,lt_n,lt_share,effect_status,hr_median_desc_breadth,pl_median_desc_breadth,mann_whitney_u,p_value,signed_rank_biserial,absolute_rank_biserial,download_boundary,modelrank_boundary,download_boundary_tie_n,modelrank_boundary_tie_n,download_high_n,modelrank_high_n,exact_modelrank
2025-01,0.85,percentile_with_ties,399316,43454,0.1088210840537318,17004,0.042582816616414,16963,0.0424801410411804,321895,0.8061159582886737,estimable,1.0,0.0,254610291.5,0.0,-0.7654368663206301,0.7654368663206301,90.0,0.158605276072982,738,558,60458,60417,False
2025-01,0.9,percentile_with_ties,399316,24667,0.0617731320558154,15378,0.0385108535595868,15287,0.0382829638682146,343984,0.861433050516383,estimable,1.0,0.0,218777015.5,0.0,-0.8612708125316808,0.8612708125316808,119.0,0.1811518922358358,554,34,40045,39954,False
2025-01,0.95,percentile_with_ties,399316,9923,0.0248499934888659,10146,0.0254084484468441,10044,0.0251530116499213,369203,0.9245885464143686,estimable,2.0,0.0,101071685.5,0.0,-0.9836175489780704,0.9836175489780704,215.0,0.3018013263886664,114,2,20069,19967,False
2025-02,0.5,percentile_with_ties,434003,216508,0.498862911085868,10216,0.0235390077948769,2326,0.0053594099579956,204953,0.4722386711612592,estimable,0.0,0.0,15704472.0,0.0,-0.321790848203314,0.321790848203314,4.0,0.0547300579550868,10949,7872,226724,218834,False
2025-02,0.7,percentile_with_ties,434003,120818,0.2783805641896484,12386,0.0285389732329039,10926,0.0251749411870424,289873,0.6679055213904052,estimable,1.0,0.0,119968274.0,0.0,-0.7729812160009297,0.7729812160009297,14.0,0.08993914570711,4772,2505,133204,131744,False
2025-02,0.8,percentile_with_ties,434003,70949,0.1634758285080978,16325,0.037614947362115,16089,0.0370711723190853,330640,0.7618380518107017,estimable,1.0,0.0,249187489.5,0.0,-0.8974659391286048,0.8974659391286048,32.0,0.1265538190730669,1247,427,87274,87038,False
2025-02,0.85,percentile_with_ties,434003,47139,0.1086144565820973,18344,0.0422669889378644,17990,0.04145132637332,350530,0.8076672281067182,estimable,1.0,0.0,314180092.0,0.0,-0.9040723792134362,0.9040723792134362,58.0,0.1477262956331014,551,197,65483,65129,False
2025-02,0.9,percentile_with_ties,434003,26711,0.0615456575184964,16852,0.0388292246827786,16690,0.0384559553735803,373750,0.8611691624251445,estimable,2.0,0.0,272556101.0,0.0,-0.938108634619342,0.938108634619342,111.0,0.1825346650438559,410,0,43563,43401,False
2025-02,0.95,percentile_with_ties,434003,9818,0.022621963442649,11914,0.0274514231468446,11883,0.0273799950691585,400388,0.922546618341348,estimable,2.0,0.0,141040830.5,0.0,-0.9924671017774428,0.9924671017774428,294.0,0.2954798499405546,50,0,21732,21701,False
2025-03,0.5,percentile_with_ties,467627,249855,0.5343040500227746,0,0.0,3764,0.0080491502843077,214008,0.4576467996929176,not_estimable_empty_group,0.0,,,,,,2.0,0.0381038982023998,41679,36559,249855,253619,False
2025-03,0.7,percentile_with_ties,467627,130939,0.2800073562903767,17689,0.0378271571145378,14450,0.0309006964952836,304549,0.6512647900998018,estimable,1.0,0.0,215817470.0,0.0,-0.6886726272715376,0.6886726272715376,5.0,0.0721226493088561,13168,7289,148628,145389,False
